Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
NCN30,16.373292183790987,Low Fat,0.017037913453245127,Household,96.2464553421027,OUT046,1996.9196134896747,Small,Tier 1,Supermarket Type1,965.41
FDL46,20.319540081100968,Low Fat,0.055034689993746805,Snack Foods,117.65380001099852,OUT017,2006.946198143334,Medium,Tier 2,Supermarket Type1,1649.8524
NCQ53,17.695041875131906,Low Fat,0.01780591226794222,Health and Hygiene,238.66698305739902,OUT045,2002.0655500245205,Medium,Tier 2,Supermarket Type1,6145.334
FDC41,15.59514589641961,Low Fat,0.1176246420218053,Frozen Foods,74.72188522029643,OUT017,2006.9374710094057,Medium,Tier 2,Supermarket Type1,1301.639
FDY08,9.386720065323455,Regular,0.2860341397062289,Fruits and Vegetables,139.97427379596348,OUT010,1998.1093050010707,Medium,Tier 3,Grocery Store,280.9676
NCW41,17.965198219671414,Low Fat,0.015006616443015274,Health and Hygiene,158.61983993246588,OUT046,1996.858575555469,Small,Tier 1,Supermarket Type1,1584.604
NCS54,13.606762376521667,Low Fat,0.010181345378894011,Household,175.77013079249903,OUT013,1986.989989507024,High,Tier 3,Supermarket Type1,1940.807
FDI40,11.45678272339853,Regular,0.1257258375682173,Frozen Foods,100.39852348115194,OUT035,2003.9846814145455,Small,Tier 2,Supermarket Type1,1105.8938
FDZ10,12.834915910945972,Low Fat,0.07749461151778676,Snack Foods,126.80683257994694,OUT019,1985.072313486285,Small,Tier 1,Grocery Store,506.008
NCE42,21.100748131698513,Low Fat,0.011253952331963028,Household,236.31252653963827,OUT046,1997.005021166658,Small,Tier 1,Supermarket Type1,3271.7412
DRK47,7.853199315401024,Low Fat,0.06385537962973498,Hard Drinks,229.27932825027008,OUT045,2002.0474834243896,Medium,Tier 2,Supermarket Type1,2055.3246
NCL19,15.396350360183686,Low Fat,0.014908641508778178,Others,143.33544451034726,OUT013,1986.943259247944,High,Tier 3,Supermarket Type1,3006.087
FDW32,18.363289401681207,Regular,0.09376650592861772,Fruits and Vegetables,83.844866793343,OUT046,1996.9999520618076,Small,Tier 1,Supermarket Type1,1116.5466
FDS28,12.843095061696944,Regular,0.0828267778726851,Frozen Foods,59.36133132806791,OUT027,1984.9383623493238,Medium,Tier 3,Supermarket Type3,1374.2112
FDP23,6.61206976435885,Low Fat,0.03573372994231379,Breads,218.52297215204183,OUT045,2001.91476653444,Medium,Tier 2,Supermarket Type1,1959.4494
FDF17,5.21187251541087,Low Fat,0.041895608465290744,Frozen Foods,197.3612461089362,OUT045,2002.0541227589363,Medium,Tier 2,Supermarket Type1,2946.165
FDO20,12.919202803591377,Regular,0.15149471904259856,Fruits and Vegetables,251.69446150494548,OUT013,1986.90864014249,High,Tier 3,Supermarket Type1,6056.1168
FDV44,8.311457093951633,Regular,0.040241258656888615,Fruits and Vegetables,191.18776328466006,OUT049,1999.02414423829,Medium,Tier 1,Supermarket Type1,1713.7692
FDU23,12.877678412427281,Low Fat,0.021610195472591336,Breads,167.56840624490832,OUT027,1984.9782988959216,Medium,Tier 3,Supermarket Type3,2476.776
FDQ32,17.857118097331547,Regular,0.04635047367513403,Fruits and Vegetables,121.23029151020074,OUT049,1998.8912383856316,Medium,Tier 1,Supermarket Type1,3962.8416
FDZ03,13.552215987334504,Regular,0.05372819653361699,Dairy,186.00655706612494,OUT018,2009.0427656447096,Medium,Tier 3,Supermarket Type2,4287.752
FDS40,15.358821088112402,Low Fat,0.0142064657795161,Frozen Foods,36.329148925360656,OUT045,2002.1500633108883,Medium,Tier 2,Supermarket Type1,585.904
NCA30,19.05103339545429,Low Fat,0.0541382151130612,Household,189.51506525677308,OUT046,1997.0240974329486,Small,Tier 1,Supermarket Type1,567.2616
NCD42,16.52389447592196,Low Fat,0.013297137983292292,Health and Hygiene,39.06337006327194,OUT045,2001.9207867481578,Medium,Tier 2,Supermarket Type1,645.1602
FDZ37,8.128583190653226,Regular,0.05343301593981598,Canned,88.57592731191333,OUT013,1987.101464505831,High,Tier 3,Supermarket Type1,261.6594
NCB19,6.561902122903072,Low Fat,0.09086589798921706,Household,84.4463745603546,OUT049,1999.0805402335486,Medium,Tier 1,Supermarket Type1,2233.0932
FDY51,12.472613048161557,Low Fat,0.0809737459695544,Meat,219.9031762585707,OUT046,1996.9059143060165,Small,Tier 1,Supermarket Type1,4848.3556
DRG01,12.84459846307332,Low Fat,0.044958528479651795,Soft Drinks,75.25374558978928,OUT027,1985.0338927408136,Medium,Tier 3,Supermarket Type3,2679.845
FDJ09,14.949554291804201,Low Fat,0.05345722971000407,Snack Foods,42.60345111786196,OUT046,1996.817317449023,Small,Tier 1,Supermarket Type1,543.2928
FDT26,18.892954197013378,Regular,0.06795413792381023,Dairy,119.39205722376975,OUT035,2004.03070585126,Small,Tier 2,Supermarket Type1,1198.44
FDL21,12.892023274293472,Regular,0.012498266045248618,Snack Foods,38.270837648122104,OUT019,1985.1637969267108,Small,Tier 1,Grocery Store,79.896
NCZ53,9.633199188284085,Low Fat,0.02504954871989742,Health and Hygiene,186.73384614164542,OUT018,2008.9443755683922,Medium,Tier 3,Supermarket Type2,1884.214
FDL40,17.666540017803595,Low Fat,0.011527991076757027,Frozen Foods,96.1018852492439,OUT018,2009.1032003274515,Medium,Tier 3,Supermarket Type2,2220.443
FDD38,16.74062422086286,Regular,0.014552850564034273,Canned,100.45805126593461,OUT010,1998.0000111094114,Medium,Tier 3,Grocery Store,203.7348
NCQ29,12.029813275631138,Low Fat,0.05491358105332906,Health and Hygiene,263.5370680789973,OUT017,2006.9023963779723,Medium,Tier 2,Supermarket Type1,1561.9668
FDT03,21.28318422270407,Low Fat,0.009162501087634249,Meat,185.50654378268177,OUT045,2001.9470289924097,Medium,Tier 2,Supermarket Type1,367.5216
FDM15,11.82568675456817,Regular,0.057117771910767653,Meat,148.68834689775173,OUT035,2003.949522646063,Small,Tier 2,Supermarket Type1,1813.6392
